Laptop, Price 
Acer Swift 5 Core i7 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) SF514-52T-87W7 Thin and Light Laptop,₹67990
HP Notebook Core i7 8th Gen - (8 GB/1 TB HDD/Windows 10/4 GB Graphics) 15G-BR108TX Laptop,₹68990
Dell Inspiron 15 3000 Series Core i7 8th Gen - (8 GB/2 TB HDD/Windows 10 Home/2 GB Graphics) 3576 Lapt...,₹69990
Lenovo Ideapad 330 Core i7 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 330-15IKB Laptop,₹63990
Asus Vivobook Core i7 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) R542UQ-DM275T Laptop,₹58734
AGB Tiara Core i7 7th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10/2 GB Graphics) 1210-V Laptop,₹67999
AGB Tiara Core i7 7th Gen - (8 GB/500 GB HDD/512 GB SSD/Windows 10/2 GB Graphics) 1709A Laptop,₹68999
AGB Orion Core i7 7th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10/2 GB Graphics) ZQ-0812 Gaming Laptop,₹62499
AGB Orion Core i7 7th Gen - (8 GB/500 GB HDD/512 GB SSD/Windows 10/2 GB Graphics) ZQ-1608 Gaming Lapto...,₹62799
Acer Nitro 5 Core i7 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) AN515-51 Gaming Laptop,₹69999
Asus Vivobook Core i7 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) X510UN-EJ329T Laptop,₹63390
AGB Tiara 2403-R Core i7 7th Gen - (8 GB/1 TB HDD/512 GB SSD/Windows 10/2 GB Graphics) 2403-R Laptop,₹69999
AGB Orion Core i7 7th Gen - (8 GB/1 TB HDD/512 GB SSD/Windows 10/2 GB Graphics) ZQ-2501 Gaming Laptop,₹63499
Asus Vivobook Core i7 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) X510UN-EJ330T Laptop,₹63990
AGB Orion Core i7 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10/2 GB Graphics) RA-0324 Gaming Laptop,₹61999
AGB Octev Core i7 7th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10/2 GB Graphics) AB-1210 Laptop,₹67499
Asus VivoBook S15 Core i7 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) S510UN-BQ052T Laptop,₹69990
Asus ROG Core i7 6th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) GL552VX-DM261T Gaming Laptop,₹68000
